name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,game_week
Aaron_Cresswell,0,41,0,0,1,27,1,8,33,1.8,1,0,454,0,1,170,0,0,0,1.7,9826,7.2,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,90,0,0,7,0,0,0,0,8,0,17,0,19517,1,0,0,0,1,8,7,3143,3422,279,53,TRUE,0,0,17
Aaron_Lennon,0,10,0,0,0,13,0,2,8,1.3,1,0,142,0,0,163,0,1,0,2.1,9514,9.6,0,2016-12-19T20:00:00Z,12/19/19 20:00,0,0,90,0,0,9,0,0,0,0,5,0,17,0,7758,0,2,0,1,0,10,2,101,213,112,55,TRUE,0,0,17
Aaron_Ramsey,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,164,0,0,0,0,9388,0,0,2016-12-18T16:00:00Z,12/18/19 16:00,0,0,0,0,0,10,0,0,0,0,0,0,17,0,39663,0,0,0,1,2,0,0,-961,22,983,76,FALSE,0,0,17
Aaron_Wan-Bissaka,0,0,0,0,0,0,0,0,0,0,0,0,612,0,0,162,0,0,0,0,9984,0,0,2016-12-17T12:30:00Z,12/17/19 12:30,0,0,0,0,0,4,0,0,0,0,0,0,17,0,23,0,0,0,1,0,0,0,8,11,3,45,TRUE,0,0,17
Abdoulaye_Doucour�,0,0,0,0,0,0,0,0,0,0,0,0,482,0,0,167,0,0,0,0,9854,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,15,0,0,0,0,0,0,17,0,662,0,0,0,0,1,0,0,-9,1,10,46,FALSE,0,0,17
Abdul Rahman_Baba,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,162,0,0,0,0,9452,0,0,2016-12-17T12:30:00Z,12/17/19 12:30,0,0,0,0,0,5,0,0,0,0,0,0,17,0,1102,0,0,0,1,0,0,0,-17,16,33,55,FALSE,0,0,17
Abel_Hern�ndez,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,170,0,0,0,0,9535,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,0,0,0,20,0,0,0,0,0,0,17,0,36528,0,0,0,0,1,0,0,-1046,32,1078,59,FALSE,0,0,17
Adama_Diomande,0,6,0,0,0,4,0,0,4,0.8,0,0,164,0,0,170,0,1,0,0.5,9536,2.2,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,21,1,0,20,0,0,0,0,0,0,17,0,212433,0,1,0,0,1,2,1,14996,20385,5389,45,FALSE,0,0,17
Adama_Traor�,0,1,0,0,0,1,0,0,0,0,0,0,563,0,0,165,1,0,0,0,9935,0,0,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,4,0,0,16,0,0,0,0,1,0,17,0,10402,1,0,0,0,3,0,1,728,1608,880,48,TRUE,0,0,17
Adam_Clayton,1,34,0,0,0,24,1,4,27,15.8,0,0,283,0,0,165,0,0,0,4.2,9655,23.8,1,2016-12-17T15:00:00Z,12/17/19 15:00,0,0,90,0,1,16,0,0,0,0,3,0,17,0,24470,0,1,0,0,3,2,6,-519,490,1009,43,TRUE,0,0,17
